date,UTC,KST,latitude,longitude,pressure,max_speed_ms,max_speed_kmh,radius,strength,size,direction,speed
2019-09-01,12:00,21:00,13.5,127.9,1002,15,54,-,-,-,북북서,40
2019-09-01,18:00,3:00,14.3,127.2,1002,15,54,-,-,-,북서,19
2019-09-02,0:00,9:00,15.2,126.1,1000,18,65,200,-,소형,북서,26
2019-09-02,6:00,15:00,16.7,125.1,1000,18,65,210,-,소형,북북서,33
2019-09-02,12:00,21:00,18,124.2,998,19,68,230,-,소형,북서,29
2019-09-02,18:00,3:00,19,124,996,20,72,240,-,소형,북북서,19
2019-09-03,0:00,9:00,19.6,123.7,994,21,76,250,-,소형,북북서,9
2019-09-03,6:00,15:00,20.6,123.8,990,24,86,250,-,소형,북,19
2019-09-03,12:00,21:00,21.5,124.2,985,27,97,260,중,소형,북동,10
2019-09-03,18:00,3:00,22.1,124.4,985,27,97,250,중,소형,북북동,12
2019-09-04,0:00,9:00,22.2,124.5,980,29,104,270,중,소형,북동,3
2019-09-04,6:00,15:00,22.3,124.8,980,29,104,280,중,소형,동북동,5
2019-09-04,12:00,21:00,23,125.4,970,35,126,300,강,중형,북동,17
2019-09-04,18:00,3:00,23.5,125.3,960,39,140,320,강,중형,북북서,9
2019-09-05,0:00,9:00,24.3,125.3,960,39,140,350,강,중형,북,19
2019-09-05,6:00,15:00,25,125.3,940,47,169,370,매우 강,중형,북,19
2019-09-05,12:00,21:00,25.7,125.2,940,47,169,350,매우 강,중형,북북서,12
2019-09-05,18:00,3:00,26.8,125.2,940,47,169,320,매우 강,중형,북,22
2019-09-06,0:00,9:00,28.1,125.1,945,45,162,350,매우 강,중형,북,24
2019-09-06,6:00,12:00,28.6,125,945,45,162,360,매우 강,중형,북북서,19
2019-09-06,12:00,15:00,29.6,125.2,945,45,162,380,매우 강,중형,북북동,38
2019-09-06,18:00,18:00,30.5,125.2,950,43,155,390,강,중형,북,33
2019-09-07,0:00,21:00,31.4,125.1,950,43,155,390,강,중형,북,34
2019-09-07,6:00,0:00,32.5,125,950,43,155,390,강,중형,북,41
2019-09-07,12:00,3:00,33.5,125,955,40,144,380,강,중형,북,37
2019-09-07,18:00,6:00,34.7,124.9,960,39,140,370,강,중형,북,44
2019-09-08,0:00,9:00,35.6,125,965,37,133,380,강,중형,북,40
2019-09-08,6:00,12:00,36.7,125.3,965,37,133,360,강,중형,북북동,42
2019-09-08,12:00,15:00,38,125.5,970,35,126,300,강,중형,북,49
2019-09-08,18:00,18:00,39.2,126.1,975,32,115,300,중,중형,북북동,48
2019-09-09,0:00,21:00,40.8,126.5,980,29,104,260,중,소형,북북동,60
2019-09-09,6:00,3:00,43.6,128.5,985,27,97,240,중,소형,북북동,62
2019-09-09,12:00,9:00,44.4,130.9,985,27,97,-,-,-,동북동,35
