station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ZMUB,2020-10-20 00:00,106.7666,47.8431,26.60,19.40,73.89,10.00,17.49,0.00,29.80,M,6.21,M,SCT,SCT,M,M,3300.00,10000.00,M,M,M,M,M,M,M,M,M,12.82,ZMUB 200000Z 01009MPS 9999 SCT033 SCT100 M03/M07 Q1009 NOSIG RMK QFE650.2 70 MOP
ZGHA,2020-10-20 00:00,112.8667,28.2333,60.80,59.00,93.79,350.00,5.83,0.00,30.24,M,1.37,M,SCT,M,M,M,4000.00,M,M,M,BR,M,M,M,M,M,M,M,ZGHA 200000Z 35003MPS 2200 BR SCT040 16/15 Q1024 BECMG TL0100 3100
ZBYN,2020-10-20 00:00,112.5500,37.7833,42.80,37.40,81.07,M,1.94,0.00,30.27,M,2.17,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZBYN 200000Z VRB01MPS 3500 BR NSC 06/03 Q1025 NOSIG
ZGGG,2020-10-20 00:00,113.3008,23.3964,69.80,55.40,60.21,20.00,9.72,0.00,30.06,M,6.21,M,SCT,M,M,M,3300.00,M,M,M,M,M,M,M,M,M,M,M,ZGGG 200000Z 02005MPS 9999 SCT033 21/13 Q1018 NOSIG
ZGKL,2020-10-20 00:00,110.3000,25.3333,60.80,59.00,93.79,0.00,0.00,0.00,30.18,M,3.73,M,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,M,ZGKL 200000Z 00000MPS 6000 FEW036 16/15 Q1022 NOSIG
ZGOW,2020-10-20 00:00,116.6833,23.4000,71.60,60.80,68.75,10.00,5.83,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGOW 200000Z 01003MPS CAVOK 22/16 Q1017 NOSIG
ZHHH,2020-10-20 00:00,114.1300,30.6200,59.00,53.60,82.25,70.00,3.89,0.00,30.27,M,2.49,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZHHH 200000Z 07002MPS 4000 BR NSC 15/12 Q1025 NOSIG
ZJHK,2020-10-20 00:00,110.4590,19.9349,75.20,68.00,78.34,50.00,15.55,0.00,29.97,M,6.21,M,BKN,BKN,M,M,2000.00,2600.00,M,M,M,M,M,M,M,M,M,M,ZJHK 200000Z 05008MPS 9999 BKN020 BKN026 24/20 Q1015 NOSIG
ZJSY,2020-10-20 00:00,109.4123,18.3029,80.60,71.60,74.11,60.00,11.66,0.00,29.88,M,6.21,M,FEW,SCT,M,M,2000.00,3300.00,M,M,M,M,M,M,M,M,M,84.57,ZJSY 200000Z 06006MPS 030V100 9999 FEW020 SCT033 27/22 Q1012 NOSIG
ZUGY,2020-10-20 00:00,106.7333,26.5833,44.60,42.80,93.35,50.00,3.89,0.00,30.30,M,6.21,M,BKN,OVC,M,M,1600.00,4300.00,M,M,-RA,M,M,M,M,M,M,42.23,ZUGY 200000Z 05002MPS 9999 -RA BKN016 OVC043 07/06 Q1026 NOSIG
ZGSZ,2020-10-20 00:00,114.1000,22.5500,71.60,59.00,64.48,20.00,11.66,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGSZ 200000Z 02006MPS CAVOK 22/15 Q1017 NOSIG
ZHCC,2020-10-20 00:00,113.6500,34.7167,55.40,48.20,76.66,220.00,1.94,0.00,30.30,M,1.86,M,NSC,M,M,M,M,M,M,M,BR,M,M,M,M,M,M,M,ZHCC 200000Z 22001MPS 3000 BR NSC 13/09 Q1026 NOSIG
ZGNN,2020-10-20 00:00,108.2167,22.6333,66.20,57.20,72.74,350.00,5.83,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZGNN 200000Z 35003MPS CAVOK 19/14 Q1019 NOSIG
ZBAA,2020-10-20 00:00,116.5870,40.0741,46.40,44.60,93.40,100.00,1.94,0.00,30.21,M,4.97,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 200000Z 10001MPS 8000 NSC 08/07 Q1023 NOSIG
ZBHH,2020-10-20 00:00,111.6833,40.8167,41.00,24.80,52.17,40.00,3.89,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,38.04,ZBHH 200000Z 04002MPS CAVOK 05/M04 Q1022 NOSIG
