station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RJFR,2020-10-20 00:00,131.0350,33.8456,66.20,48.20,52.25,50.00,9.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJFR 200000Z 05009KT 9999 FEW030 19/09 Q1025
RJSR,2020-10-20 00:00,140.3714,40.1919,42.80,42.80,100.00,0.00,0.00,0.00,30.33,M,0.25,M,BKN,BKN,M,M,100.00,200.00,M,M,FG,M,M,M,M,M,M,M,RJSR 200000Z 00000KT 0400 R11/0200V0275N FG BKN001 BKN002 06/06 Q1027
RJAA,2020-10-20 00:00,140.3856,35.7653,57.20,53.60,87.74,330.00,7.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJAA 200000Z 33007KT 9999 FEW020 BKN/// 14/12 Q1025 NOSIG
RJAF,2020-10-20 00:00,137.9228,36.1667,44.60,42.80,93.35,M,1.00,0.00,30.36,M,5.59,M,FEW,SCT,BKN,M,100.00,600.00,900.00,M,BR,M,M,M,M,M,M,M,RJAF 200000Z VRB01KT 9000 BR FEW001 SCT006 BKN009 07/06 Q1028
RJAH,2020-10-20 00:00,140.4147,36.1817,62.60,53.60,72.38,10.00,7.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,3000.00,25000.00,M,M,M,M,M,M,M,M,M,M,RJAH 200000Z 01007KT 9999 FEW030 BKN250 17/12 Q1025
RJBT,2020-10-20 00:00,134.7869,35.5128,53.60,53.60,100.00,M,1.00,0.00,30.30,M,0.31,M,FEW,SCT,M,M,0.00,200.00,M,M,FG,M,M,M,M,M,M,M,RJBT 200000Z VRB01KT 0500 FG FEW000 SCT002 12/12 Q1026
RJCB,2020-10-20 00:00,143.2172,42.7333,55.40,35.60,47.16,340.00,12.00,0.00,30.21,M,6.21,M,FEW,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,M,RJCB 200000Z 34012KT 9999 FEW050 13/02 Q1023
RJCC,2020-10-20 00:00,141.6926,42.7742,53.60,42.80,66.70,140.00,5.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJCC 200000Z 14005KT 9999 FEW030 12/06 Q1024
RJCH,2020-10-20 00:00,140.8219,41.7700,55.40,41.00,58.27,M,2.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJCH 200000Z VRB02KT 9999 FEW030 13/05 Q1025
RJCK,2020-10-20 00:00,144.1931,43.0408,55.40,41.00,58.27,M,2.00,0.00,30.18,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,RJCK 200000Z VRB02KT 9999 FEW040 13/05 Q1022
RJCM,2020-10-20 00:00,144.1642,43.8806,51.80,41.00,66.48,210.00,5.00,0.00,30.18,M,6.21,M,FEW,SCT,BKN,M,4000.00,7000.00,9000.00,M,M,M,M,M,M,M,M,M,RJCM 200000Z 21005KT 9999 FEW040 SCT070 BKN090 11/05 Q1022
RJCN,2020-10-20 00:00,144.9600,43.5775,57.20,33.80,41.13,300.00,8.00,0.00,30.18,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJCN 200000Z 30008KT 240V360 9999 FEW030 14/01 Q1022
RJCO,2020-10-20 00:00,141.3814,43.1175,51.80,44.60,76.34,50.00,6.00,0.00,30.27,M,6.21,M,FEW,SCT,M,M,2000.00,6000.00,M,M,M,M,M,M,M,M,M,M,RJCO 200000Z 05006KT 9999 FEW020 SCT060 11/07 Q1025
RJCW,2020-10-20 00:00,141.8022,45.4044,50.00,37.40,61.76,40.00,12.00,0.00,30.21,M,6.21,M,FEW,SCT,M,M,3000.00,4000.00,M,M,M,M,M,M,M,M,M,M,RJCW 200000Z 04012KT 9999 FEW030 SCT040 10/03 Q1023
RJDT,2020-10-20 00:00,129.3306,34.2850,68.00,51.80,56.13,70.00,11.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJDT 200000Z 07011KT 030V110 9999 FEW030 20/11 Q1025
RJEB,2020-10-20 00:00,143.4040,44.3039,50.00,41.00,71.07,230.00,9.00,0.00,30.18,M,6.21,M,FEW,SCT,BKN,M,5000.00,7000.00,9000.00,M,M,M,M,M,M,M,M,M,RJEB 200000Z 23009KT 9999 FEW050 SCT070 BKN090 10/05 Q1022
RJEC,2020-10-20 00:00,142.4475,43.6708,51.80,32.00,46.59,160.00,6.00,0.00,30.21,M,6.21,M,FEW,SCT,BKN,M,100.00,5000.00,8000.00,M,M,M,M,M,M,M,M,M,RJEC 200000Z 16006KT 9999 FEW001 SCT050 BKN080 11/M00 Q1023
RJFE,2020-10-20 00:00,128.8328,32.6664,68.00,57.20,68.35,30.00,12.00,0.00,30.24,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJFE 200000Z 03012KT 9999 FEW020 20/14 Q1024
RJFF,2020-10-20 00:00,130.4517,33.5844,64.40,55.40,72.56,90.00,4.00,0.00,30.27,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJFF 200000Z 09004KT 350V150 9999 FEW025 18/13 Q1025 NOSIG
RJFK,2020-10-20 00:00,130.7194,31.8033,64.40,53.60,67.95,70.00,4.00,0.00,30.21,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJFK 200000Z 07004KT 020V110 9999 FEW020 18/12 Q1023
RJFM,2020-10-20 00:00,131.4486,31.8772,68.00,55.40,64.04,20.00,19.00,0.00,30.24,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJFM 200000Z 02019KT 9999 FEW030 20/13 Q1024
RJFO,2020-10-20 00:00,131.7372,33.4794,66.20,51.80,59.74,20.00,10.00,0.00,30.27,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJFO 200000Z 02010KT 9999 FEW030 19/11 Q1025
RJAW,2020-10-20 00:00,141.3227,24.7840,82.40,78.80,88.90,160.00,10.00,0.00,29.91,M,6.21,M,SCT,SCT,BKN,M,1500.00,15000.00,23000.00,M,M,M,M,M,M,M,M,92.76,RJAW 200000Z 16010KT 9999 SCT015 SCT150 BKN230 28/26 Q1013 RMK 3CU015 4AC150 A2992
RJBB,2020-10-20 00:00,135.2328,34.4342,62.60,59.00,88.00,60.00,7.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,RJBB 200000Z 06007KT 9999 FEW015 SCT/// 17/15 Q1026 NOSIG
RJBE,2020-10-20 00:00,135.2239,34.6328,60.80,55.40,82.37,90.00,6.00,0.00,30.30,M,6.21,M,FEW,SCT,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJBE 200000Z 09006KT 9999 FEW030 SCT/// 16/13 Q1026
RJNK,2020-10-20 00:00,136.4075,36.3939,64.40,53.60,67.95,M,2.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJNK 200000Z VRB02KT 9999 FEW030 18/12 Q1026
RJNT,2020-10-20 00:00,137.1875,36.6483,62.60,50.00,63.38,M,2.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJNT 200000Z VRB02KT 9999 FEW030 17/10 Q1026
RJNW,2020-10-20 00:00,136.9618,37.2931,64.40,53.60,67.95,70.00,7.00,0.00,30.33,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,M,M,M,M,RJNW 200000Z 07007KT 9999 FEW030 18/12 Q1027
RJOA,2020-10-20 00:00,132.9194,34.4361,60.80,46.40,59.01,40.00,9.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJOA 200000Z 04009KT 9999 FEW025 16/08 Q1026
RJOB,2020-10-20 00:00,133.8553,34.7569,62.60,48.20,59.26,20.00,5.00,0.00,30.30,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,M,M,M,M,RJOB 200000Z 02005KT 330V060 9999 FEW025 17/09 Q1026
RJOC,2020-10-20 00:00,132.8900,35.4136,60.80,51.80,72.20,160.00,6.00,0.00,30.30,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,RJOC 200000Z 16006KT 9999 FEW035 16/11 Q1026
RJOH,2020-10-20 00:00,133.2392,35.4933,59.00,55.40,87.83,M,2.00,0.00,30.33,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,RJOH 200000Z VRB02KT 9999 FEW040 15/13 Q1027
RJKA,2020-10-20 00:00,129.7125,28.4308,78.80,71.60,78.62,50.00,17.00,0.00,30.09,M,6.21,M,FEW,SCT,BKN,M,2000.00,3000.00,4500.00,M,M,M,M,M,M,M,M,M,RJKA 200000Z 05017KT 9999 FEW020 SCT030 BKN045 26/22 Q1019
RJOK,2020-10-20 00:00,133.6694,33.5461,66.20,46.40,48.83,10.00,8.00,0.00,30.24,M,6.21,M,FEW,SCT,M,M,3000.00,17000.00,M,M,M,M,M,M,M,M,M,M,RJOK 200000Z 01008KT 9999 FEW030 SCT170 19/08 Q1024
RJFU,2020-10-20 00:00,129.9136,32.9169,68.00,55.40,64.04,10.00,8.00,0.00,30.21,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,M,RJFU 200000Z 01008KT 9999 FEW015 20/13 Q1023
RJGG,2020-10-20 00:00,136.8054,34.8584,59.00,51.80,76.98,350.00,8.00,0.00,30.27,M,6.21,M,FEW,BKN,M,M,2000.00,M,M,M,M,M,M,M,M,M,M,M,RJGG 200000Z 35008KT 9999 FEW020 BKN/// 15/11 Q1025 NOSIG
RJKI,2020-10-20 00:00,129.9281,28.3213,78.80,71.60,78.62,70.00,14.00,0.00,30.06,M,6.21,M,SCT,SCT,BKN,M,2300.00,3300.00,3600.00,M,M,M,M,M,M,M,M,M,RJKI 200000Z AUTO 07014KT 9999 SCT023 SCT033 BKN036 26/22 Q1018
