station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
QFB,2020-10-20 00:00,128.7167,35.6500,44.60,44.60,100.00,290.00,2.00,0.00,30.43,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFB 200000Z AUTO 29002KT 0400 FG CLR 07/07 A3043 RMK A02 TSNO
QEN,2020-10-20 00:00,128.7500,37.6667,46.40,42.80,87.19,210.00,1.00,0.00,30.38,M,6.21,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,KQEN 200000Z AUTO 21001KT 9999 CLR 08/06 A3038 RMK A02 TSNO
QES,2020-10-20 00:00,126.4500,36.9667,66.20,53.60,63.82,M,M,0.00,M,M,1.74,M,BKN,M,M,M,900.00,M,M,M,BR,M,M,M,M,M,M,M,KQES 200000Z AUTO 2800 BR BKN009 19/12 / RMK A02 TSNO
QEJ,2020-10-20 00:00,127.9500,38.2000,41.00,41.00,100.00,100.00,1.00,0.00,30.39,M,1.24,M,OVC,M,M,M,200.00,M,M,M,DZ BR,M,M,M,M,M,M,M,KQEJ 200000Z AUTO 10001KT 2000 DZ BR OVC002 05/05 A3039 RMK A02 TSNO
QEI,2020-10-20 00:00,128.0667,37.9500,44.60,41.00,87.09,250.00,1.00,0.00,30.39,M,6.21,M,BKN,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,M,KQEI 200000Z AUTO 25001KT 9999 BKN005 07/05 A3039 RMK A02 TSNO
QEQ,2020-10-20 00:00,127.5500,37.8500,46.40,46.40,100.00,10.00,1.00,0.00,30.43,M,0.75,M,BKN,M,M,M,200.00,M,M,M,-RA BR,M,M,M,M,M,M,M,KQEQ 200000Z AUTO 01001KT 1200 -RA BR BKN002 08/08 A3043 RMK A02 TSNO
QEW,2020-10-20 00:00,128.1500,36.4000,50.00,42.80,76.18,10.00,1.00,0.00,30.38,M,5.59,M,CLR,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,KQEW 200000Z AUTO 01001KT 9000 HZ CLR 10/06 A3038 RMK A02 TSNO
QEP,2020-10-20 00:00,127.2667,37.4000,46.40,46.40,100.00,160.00,2.00,0.00,30.41,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQEP 200000Z AUTO 16002KT 0400 FG CLR 08/08 A3041 RMK A02 TSNO
QFT,2020-10-20 00:00,127.3500,37.6000,48.20,44.60,87.28,20.00,2.00,0.00,30.39,M,M,M,BKN,M,M,M,400.00,M,M,M,,M,M,M,M,M,M,M,KQFT 200000Z AUTO 02002KT / // BKN004 09/07 A3039 RMK A02 TSNO
QFU,2020-10-20 00:00,126.9667,37.8000,46.40,46.40,100.00,0.00,0.00,0.00,30.42,M,0.25,M,CLR,M,M,M,M,M,M,M,FG,M,M,M,M,M,M,M,KQFU 200000Z AUTO 00000KT M0400 FG CLR 08/08 A3042 RMK A02 TSNO
QEX,2020-10-20 00:00,128.3000,36.1000,46.40,44.60,93.40,10.00,2.00,0.00,30.31,M,3.73,M,SCT,M,M,M,100.00,M,M,M,,M,M,M,M,M,M,M,KQEX 200000Z AUTO 01002KT 6000 // SCT001 08/07 A3031 RMK A02 TSNO
